"","egal1","egal2","egal3","egal","indiv1","indiv2","indiv3","indiv","hier1","hier2","hier3","hier","fatal1","fatal2","fatal3","fatal","nep2","nep3","nep6","nepScale","ideology","partisan","happening","risk","sciconsensus","IntAgree","Renew","Nuclear","Tax","EPA","CapTrade","GeoEng"
"1103",5,4,4,4,4,4,5,4,5,5,6,5,3,3,4,3,6,4,6,5,6,4,3,6,0,5,6,5,5,6,5,5
"1104",4,5,4,4,6,4,4,5,5,4,4,4,3,2,5,3,4,2,7,4,5,4,3,5,0,3,5,5,2,3,3,3
"1105",5,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,3,3,3,3,5,4,0,5,1,3,4,3,3,2,3,4
"1106",2,3,3,3,4,3,5,4,4,6,3,4,5,7,5,6,4,6,7,5,4,4,-2,6,0,4,7,4,3,4,3,5
"1107",4,4,4,4,5,4,4,4,6,5,5,5,3,4,3,3,4,3,3,4,5,4,2,5,1,5,5,4,4,5,5,5
"1108",1,1,1,1,6,6,6,6,5,3,4,4,2,3,2,2,2,4,1,3,7,4,3,4,0,1,2,4,1,1,1,1
"1109",4,7,3,5,4,6,2,4,5,2,2,3,2,1,1,1,5,7,7,6,1,1,4,10,1,7,7,7,5,6,4,7
"1110",6,6,NA,NA,4,4,4,4,6,5,4,5,1,2,1,1,3,4,7,5,1,1,4,6,1,7,6,3,5,7,5,7
"1111",6,6,5,6,5,6,6,6,5,6,6,6,6,5,6,6,6,5,6,4,4,2,3,8,0,4,6,6,6,5,6,6
"1112",5,6,5,5,3,4,4,4,4,5,5,5,2,5,5,4,6,2,6,5,4,1,3,8,0,7,7,2,7,7,5,7
"1113",7,7,7,7,1,3,1,2,1,1,6,3,3,2,5,3,7,7,7,7,1,2,3,10,1,7,7,1,7,7,6,4
"1114",4,5,3,4,4,4,3,4,5,3,3,4,3,3,3,3,3,5,5,5,2,2,3,7,1,5,6,2,5,5,5,5
"1115",5,5,5,5,5,4,5,5,5,5,5,5,5,6,5,5,6,5,5,4,5,6,2,7,0,5,5,5,5,5,5,5
"1116",2,5,3,3,6,6,6,6,5,5,NA,NA,3,4,2,3,7,6,7,5,5,6,2,8,1,6,6,7,6,5,6,5
"1117",1,7,1,3,4,5,7,5,7,7,7,7,1,1,1,1,2,4,5,NA,6,7,-2,5,0,4,5,4,2,4,5,5
"1118",2,2,1,2,2,2,1,2,7,4,5,5,4,5,4,4,2,2,1,2,5,6,-2,3,1,1,4,5,1,1,1,4
"1119",7,7,7,7,1,1,1,1,1,1,1,1,4,4,4,4,7,7,7,7,2,4,4,10,1,7,7,1,7,7,4,7
"1120",3,4,2,3,3,3,3,3,4,5,7,5,2,4,2,3,7,6,7,6,3,4,4,10,1,7,7,6,7,7,3,6
"1121",4,4,7,5,NA,3,5,NA,2,3,2,2,2,5,3,3,6,5,7,5,4,4,4,8,1,6,6,6,6,6,5,5
"1122",1,6,2,3,3,5,7,5,5,2,5,4,2,1,2,2,7,1,7,4,3,4,4,10,1,4,7,1,7,7,5,7
"1123",4,7,7,6,1,1,7,3,4,1,7,4,4,2,6,4,4,4,7,5,4,4,2,8,1,7,7,4,7,7,4,7
"1124",5,5,4,5,4,3,4,4,6,5,6,6,3,2,3,3,5,6,6,6,4,4,4,8,1,4,6,2,3,5,4,6
"1125",3,4,4,4,6,4,4,5,5,3,2,3,5,6,4,5,4,2,3,3,6,4,2,6,0,2,4,2,4,5,4,5
"1126",5,6,7,6,6,4,6,5,6,2,6,5,4,6,5,5,6,7,7,6,4,4,3,9,0,5,7,5,4,6,5,6
"1127",4,4,4,4,6,6,6,6,3,4,6,4,2,1,4,2,5,3,5,4,4,4,-2,5,0,4,4,3,4,3,4,4
"1128",7,7,7,7,3,5,7,5,2,5,6,4,2,2,2,2,7,7,7,6,5,4,4,10,1,7,7,3,7,7,7,7
"1129",4,5,4,4,3,3,4,3,5,4,4,4,3,2,2,2,6,6,5,6,6,4,2,7,0,4,7,3,5,5,2,6
"1130",3,5,3,4,5,5,4,5,6,3,5,5,3,5,3,4,5,4,4,4,6,4,2,5,0,4,5,3,5,5,1,5
"1131",1,5,1,2,7,7,7,7,7,7,4,6,1,2,1,1,6,7,4,4,6,4,3,5,0,1,6,6,1,2,1,6
"1132",7,7,7,7,1,5,4,3,3,1,1,2,6,1,6,4,7,1,7,4,1,1,4,10,1,7,7,7,7,7,6,7
"1133",6,6,7,6,3,2,6,4,5,5,7,6,4,5,4,4,7,5,7,6,3,2,4,10,1,7,7,1,7,7,6,6
"1134",5,5,5,5,2,3,3,3,3,2,3,3,2,2,2,2,6,6,5,6,2,1,4,8,1,4,7,4,5,6,6,6
"1135",5,4,3,4,3,3,4,3,3,4,4,4,4,3,3,3,4,5,7,5,2,1,4,8,1,5,6,6,5,6,5,5
